left,right,left_sector,right_sector,same_sector,cross_basis,operator_shape,information_quantum,information_role,numeric_coupling_value_allowed_here,fit_quarantine
e,mu,charged_lepton,charged_lepton,True,False,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
e,tau,charged_lepton,charged_lepton,True,False,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
e,nu1,charged_lepton,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
e,nu2,charged_lepton,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
e,nu3,charged_lepton,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
e,u,charged_lepton,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
e,s,charged_lepton,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
e,t,charged_lepton,heavy_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
mu,tau,charged_lepton,charged_lepton,True,False,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
mu,nu1,charged_lepton,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
mu,nu2,charged_lepton,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
mu,nu3,charged_lepton,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
mu,u,charged_lepton,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
mu,s,charged_lepton,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
mu,t,charged_lepton,heavy_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
tau,u,charged_lepton,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu1,tau,neutrino,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu1,nu2,neutrino,neutrino,True,False,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu1,nu3,neutrino,neutrino,True,False,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu1,u,neutrino,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu1,s,neutrino,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu1,t,neutrino,heavy_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu2,tau,neutrino,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu2,nu3,neutrino,neutrino,True,False,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu2,u,neutrino,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu2,s,neutrino,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu2,t,neutrino,heavy_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu3,tau,neutrino,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu3,u,neutrino,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu3,s,neutrino,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
nu3,t,neutrino,heavy_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,e,light_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,mu,light_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,tau,light_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,nu1,light_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,nu2,light_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,nu3,light_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,u,light_quark,light_quark,True,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,s,light_quark,light_quark,True,False,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
d,t,light_quark,heavy_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
s,tau,light_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
s,u,light_quark,light_quark,True,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
s,t,light_quark,heavy_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,e,heavy_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,mu,heavy_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,tau,heavy_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,nu1,heavy_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,nu2,heavy_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,nu3,heavy_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,u,heavy_quark,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,d,heavy_quark,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,s,heavy_quark,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
c,t,heavy_quark,heavy_quark,True,False,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,e,heavy_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,mu,heavy_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,tau,heavy_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,nu1,heavy_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,nu2,heavy_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,nu3,heavy_quark,neutrino,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,u,heavy_quark,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,d,heavy_quark,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,s,heavy_quark,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,c,heavy_quark,heavy_quark,True,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
b,t,heavy_quark,heavy_quark,True,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
t,tau,heavy_quark,charged_lepton,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
t,u,heavy_quark,light_quark,False,True,open_path_holonomy_correlation_kernel,0.009193150006360484,quantum_of_informational_preference_fluctuation,False,True
